# 段末無句讀 303 處裡定得出位置的 293 處，逐格判讀（接觸表 tails-sheet-00..14）。
# 每列：篇-段 TAB 判定。段號是 paragraphs 的索引（0 起算），與 audit-drafts.mjs 印的一致。
# 判定＝原頁圖上該段末實有的標點（。：？！，）；「無」＝原書該處本無句讀（表格欄、
# 小標、清單項、書信落款），不改；「待查」＝圖中看不出來或裁圖沒對準，要單獨回原頁圖。
#
# 2026-08-24 重來一次：第一版的 crop-tails.py 把「第 N 段」當成 1 起算，裁的是前一段的
# 段末，263 格全部差一段。差出來的那一段多半有句讀，於是每一格都判成「原書有而 GCV 掉了」，
# 判讀本身看不出破綻。舊的 263 條判定全部作廢，本檔自此重記。
018-10	。
018-13	。
023-1	。
023-2	。
023-5	無
023-7	無
023-9	無
023-11	無
023-13	無
023-15	無
023-16	。
023-17	無
023-20	無
023-22	無
024-0	無
024-1	。
028-14	。
029-3	無
029-5	無
029-8	無
029-14	無（小標「四、我們的希望」）
032-0	無
032-7	。
032-54	無（抬頭換頁；另改掉頁首讀成正文的書根）
035-5	無
035-7	無
035-8	無
035-12	無
035-14	。
035-15	無
035-21	無
035-26	無
035-28	無
035-30	無
035-32	無
035-34	無
035-36	無
035-37	。
035-42	。
035-44	無
035-48	無
035-50	無
035-52	無
036-3	。
036-6	。
036-7	。
036-16	無
036-21	無
038-2	。
038-4	。
039-3	。
039-14	無
041-0	無
042-1	。
043-8	無
043-13	無
044-3	無
044-4	無
047-12	無
047-15	無
047-16	無
047-17	無
047-18	無
047-19	無
047-20	無
047-21	無
047-23	無
047-30	無
047-33	無
047-40	無
047-41	。
047-46	無
047-51	無
047-54	無
053-9	。
055-4	。
055-34	。
056-0	。
056-1	無
056-3	無
056-7	無
056-9	無
057-0	無
057-2	。（換欄處只剩「學。」一欄）
057-3	。
057-6	無
057-8	併段（同一欄被切成兩段，下半段排到整段之後）
057-11	無
058-3	無
058-5	無
058-7	無
059-12	。
059-13	無
060-20	。
060-43	。
062-1	。
062-13	。
063-0	無
