待核	段末無句讀	ZJH-003	第 1 段	吉雲吾兄台鑒：接奉六日長箋，敬悉陳永齡君事，故雖發現叔泉兄未正式送聘，惟函札往復
待核	段末無句讀	ZJH-008	第 1 段	()民國三十一年十月一日（二）民國三十一年十月十九日
待核	段末無句讀	ZJH-009	第 1 段	思基先生大鑒：今春敍談至快。大地測量之重要，我國人才之缺乏，弟於十餘年前已見及此
待核	段末無句讀	ZJH-012	第 6 段	總之，我們的學術工作，當緊隨時代，不斷進步。我們戰後的建國工作，益爲繁重，我們應
待核	段末無句讀	ZJH-014	第 6 段	總理提倡革命，便認定建立富強康樂的新中國，必須提倡科學。總理是研習醫學的，是一位
待核	段末無句讀	ZJH-014	第 9 段	（一）打破籠統片段的思想培養有系統的知識：自同治初年以來，爲我國進步史及近代文明
待核	段末無句讀	ZJH-015	第 12 段	五、氣象學氣象學對於航空的重要，爲盡人皆知之事實，其對於砲兵的射擊，尤有重大的影
待核	段末無句讀	ZJH-018	第 10 段	教育行政工作，是在一定的制度之下，根據一切法令規章，按部就班的逐漸推動。任何一種
待核	段末無句讀	ZJH-018	第 13 段	以上所說的，歸納起來，可得三點：一、教育工作十分重要，須加注意。二、教育的方法與
待核	段末無句讀	ZJH-023	第 1 段	二十六年秋，奉命遷移，總辦事處及各研究所一再轉徙，分別遷至四川廣西及雲南。總辦事
待核	段末無句讀	ZJH-023	第 2 段	各所原有之書籍、儀器、設備、及歷年收集之各種研究材料，除笨重難移者，如天文台之鋼
待核	段末無句讀	ZJH-023	第 5 段	一、物理研究所
待核	段末無句讀	ZJH-023	第 7 段	二、化學研究所
待核	段末無句讀	ZJH-023	第 9 段	三、工程研究所
待核	段末無句讀	ZJH-023	第 11 段	朱家驊先生言論集四、地質研究所
待核	段末無句讀	ZJH-023	第 13 段	五、天文研究所
待核	段末無句讀	ZJH-023	第 15 段	六、氣象研究所
待核	段末無句讀	ZJH-023	第 16 段	甲、協助航空及防空之天氣預報。乙、藉自動儀器觀測，已至每日二十四小時均有記錄。丙
待核	段末無句讀	ZJH-023	第 17 段	七、歷史語言研究所
待核	段末無句讀	ZJH-023	第 20 段	九、社會科學研究所
待核	段末無句讀	ZJH-023	第 22 段	十、動植物研究所
