# 2026-08-24 連字號批次，裁原頁圖核過。
打擊-而在	打擊——而在	516	原書兩字寬破折號
鄰境-從芬蘭	鄰境——從芬蘭	519	原書兩字寬破折號，跨欄
優勢--最好	優勢——最好	519	原書兩字寬破折號
# 2026-08-24 段末句讀批次，逐處裁原頁圖核過（判讀記錄 engineering/tail-punct-batch/verdicts.tsv）。
多面作戰	多面作戰。	518	原書第 518 頁段末即印「。」，GCV 掉了
理想之一	理想之一。	519	原書第 519 頁段末即印「。」，GCV 掉了
# 2026-08-24 段末待查逐處回原頁圖：換欄處的掉字與被切開的段落（判讀記錄 engineering/tail-punct-batch/verdicts.tsv）。
決雌雄於今¶因爲日本的海軍	決雌雄於今日。因爲日本的海軍	522	換欄處掉「日。」，該段原書未斷
# 2026-08-27 字錯率抽樣所核出的條目，逐處回原頁圖。
在東京舉行	在東京擧行	521	原書 521 頁作擧（2026-08-27 核 PDF 558 的原頁圖）。
美國國内的輿論	美國國內的輿論	521	原書 521 頁作內，辨讀稿作内。
