# ZJH-060 國立中山大學籌備之經過和將來之希望（原書 249–260，PDF 288–299）。
# 2026-08-24 站主逐處點名，各處裁原頁圖核過。
# 核過照原書留、不進表的：251 頁「一樣遺給我們」（原書即印遺）、253 頁「㈡計劃根本的爲大學
# 立一個良好的基礎」（的與爲之間原書無標點）、254 頁「更可分開二部來說」（原書即印二部）。
三月一日開學因爲	三月一日開學——因爲	250	原書兩字寬破折號，GCV 讀成連字號串後被清理剝掉
差不一點兒都沒有	差不多一點兒都沒有	251	換欄處掉「多」，原書「差不多一點兒都沒有」
忘記總理	忘記；總理	252	原書「並沒有一時忘記；」句讀掉了，挪抬空格照全書體例收
幾個月來, -在這四個半月當中	幾個月來，——在這四個半月當中	252	原書是兩字寬破折號
一開始工作	（一）開始工作	253	原書合刻字㈠，GCV 掉括號；照㈡㈢的展開寫法
卽行改	卽行改動。	253	欄末「改」接下一欄頂「動。」，GCV 整個掉了「動。」
（台圖謀發展	（三）圖謀發展	254	原書合刻字㈢，GCV 誤讀成「台」
名詞-畢業二字取消了	名詞—畢業二字取消了	254	原書是一字寬破折號
大加整頓一番	大加整頓一番。	259	原書段末句號，GCV 掉了
責任。-使	責任。——使	260	原書兩字寬破折號
# 2026-08-24 段末句讀批次，逐處裁原頁圖核過（判讀記錄 engineering/tail-punct-batch/verdicts.tsv）。
表同情的	表同情的。	253	原書第 253 頁段末即印「。」，GCV 掉了
不注意到	不注意到。	257	原書第 257 頁段末即印「。」，GCV 掉了
# 2026-08-24 段末定不出位置的十處：原頁圖的檔名對百位以下的頁補了零，先前的裁圖腳本沒補，於是整批找不到。
大家知道的	大家知道的。	259	跨頁換欄處的「。」，GCV 掉了；命中落在頁 259 與 260 的交界，「。」印在 260 頁的欄首
